covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
MonthlyCharges,0.0028917101484628614,1.0028958951752434,0.0011365024155047037,0.0006642063457308663,0.0051192139511948564,1.0006644269796119,1.0051323395148988,0.0,2.5443941948673254,0.010946746986425945,6.5133539778296194
TotalCharges,-0.00037529398926768184,0.9996247764247126,1.331838086101024e-05,-0.0004013975360876495,-0.0003491904424477142,0.9995986830131255,0.9996508705174391,0.0,-28.178649731091607,1.068274208960154e-174,577.9202064990211
Contract_One year,-0.6659696043340699,0.5137751275298028,0.05828674159649862,-0.7802095186393999,-0.55172969002874,0.45830997676230684,0.5759527286161723,0.0,-11.425747710249013,3.1096745814910307e-30,98.02107923225634
Contract_Two year,-1.05437402787361,0.34841045429260015,0.0666141365660945,-1.184935336404388,-0.9238127193428322,0.3057659507852572,0.39700249275181543,0.0,-15.828082179335327,1.9920074587692576e-56,185.0337502643238
PaymentMethod_Credit card (automatic),-0.19409974963509896,0.8235757487907372,0.058533473165730494,-0.3088232489299724,-0.0793762503402255,0.7343105487318838,0.9236923195064713,0.0,-3.3160470263831576,0.0009130046397333048,10.097090187792064
PaymentMethod_Electronic check,0.3842570245590003,1.468522839614877,0.047195168298580385,0.29175619444947626,0.47675785466852433,1.3387765766865454,1.6108433386308554,0.0,8.141872111314383,3.8921224854459054e-16,51.19029240562121
PaymentMethod_Mailed check,0.23385940647531922,1.2634668444630288,0.05828752648229869,0.11961795382208916,0.34810085912854927,1.127066177990461,1.4163750968941542,0.0,4.012168993761295,6.016340476595576e-05,14.020754260147887
InternetService_Fiber optic,0.4723783816630376,1.603804119000318,0.05287940673118659,0.36873664894606695,0.5760201143800082,1.4459067724583738,1.7789443283048438,0.0,8.933125593945892,4.141390833844075e-19,61.066518442837044
InternetService_No,-0.22412576492557418,0.7992146148820263,0.08599647700118865,-0.39267576264523096,-0.055575767205917365,0.6752476526083184,0.9459403496979395,0.0,-2.6062203097282266,0.00915475568073025,6.77126290032186
OnlineSecurity_No internet service,-0.22412576492557418,0.7992146148820263,0.08599647700118866,-0.392675762645231,-0.05557576720591734,0.6752476526083184,0.9459403496979395,0.0,-2.606220309728226,0.009154755680730273,6.771262900321856
OnlineSecurity_Yes,-0.4251580903125812,0.6536664386294154,0.05028828355909228,-0.5237213149327398,-0.32659486569242263,0.5923122611908923,0.7213759379746458,0.0,-8.454416421132976,2.804866201065108e-17,54.984845660669556
TechSupport_No internet service,-0.22412576492557418,0.7992146148820263,0.08599647700118866,-0.392675762645231,-0.05557576720591734,0.6752476526083184,0.9459403496979395,0.0,-2.606220309728226,0.009154755680730273,6.771262900321856
TechSupport_Yes,-0.33562887903110616,0.7148883666543668,0.05036497159937064,-0.4343424094482553,-0.23691534861395702,0.6476904421850841,0.7890580800506954,0.0,-6.663934642927511,2.6659205654279884e-11,35.12657524966959
